transmition_rate,percent_quarantine,total_infections,num_cities_infected
0.15,0,23840,1260
0.15,0,24273,1274
0.15,0,29188,1276
0.15,0,21122,1216
0.15,0,32061,1283
0.15,0,26188,1283
0.15,0,32134,1266
0.15,0,22548,1169
0.15,0,27453,1284
0.15,0,10650,1058
0.15,0,24592,1277
0.15,0,30883,1271
0.15,0,28090,1235
0.15,0,20065,1229
0.15,0,28944,1246
0.15,0,26713,1250
0.15,0,29343,1257
0.15,0,30668,1288
0.15,0,22833,1208
0.15,0,29308,1264
0.15,0,5300,647
0.15,0,33523,1268
0.15,0,27352,1192
0.15,0,32613,1271
0.15,0,26891,1283
0.15,0,9647,1044
0.15,0,28872,1262
0.15,0,32012,1270
0.15,0,31252,1276
0.15,0,32248,1273
0.15,0,33007,1284
0.15,0,30379,1271
0.15,0,23477,1260
0.15,0,30421,1288
0.15,0,28931,1261
0.15,0,32151,1277
0.15,0,28755,1253
0.15,0,30829,1269
0.15,0,24371,1264
0.15,0,30244,1275
0.15,0,28567,1281
0.15,0,32769,1272
0.15,0,31639,1267
0.15,0,32316,1265
0.15,0,26090,1282
0.15,0,30010,1275
0.15,0,29062,1258
0.15,0,30348,1272
0.15,0,33692,1280
0.15,0,23784,1243
0.15,0,28738,1269
0.15,0,32200,1280
0.15,0,31320,1266
0.15,0,30378,1256
0.15,0,30304,1288
0.15,0,32183,1280
0.15,0,26462,1281
0.15,0,27488,1268
0.15,0,33904,1287
0.15,0,28926,1250
0.15,0,30206,1274
0.15,0,26638,1258
0.15,0,30424,1291
0.15,0,28023,1278
0.15,0,25862,1264
0.15,0,29762,1269
0.15,0,32648,1259
0.15,0,31103,1274
0.15,0,32066,1270
0.15,0,32840,1283
0.15,0,27397,1251
0.15,0,26382,1287
0.15,0,30984,1276
0.15,0,30697,1267
0.15,0,18759,1143
0.15,0,15179,1247
0.15,0,32221,1283
0.15,0,28745,1271
0.15,0,27365,1264
0.15,0,14034,1172
0.15,0,31941,1278
0.15,0,30417,1259
0.15,0,25605,1255
0.15,0,29768,1273
0.15,0,32232,1266
0.15,0,23337,1257
0.15,0,23275,1259
0.15,0,31692,1288
0.15,0,30165,1271
0.15,0,13632,1182
0.15,0,26446,1232
0.15,0,19001,1223
0.15,0,28549,1254
0.15,0,28173,1280
0.15,0,24323,1261
0.15,0,29416,1272
0.15,0,28172,1276
0.15,0,25720,1283
0.15,0,30021,1224
0.15,0,24677,1278
0.15,0.05,29962,1251
0.15,0.05,27999,1258
0.15,0.05,26669,1245
0.15,0.05,28191,1271
0.15,0.05,27626,1274
0.15,0.05,27117,1244
0.15,0.05,31907,1252
0.15,0.05,30497,1280
0.15,0.05,29929,1238
0.15,0.05,25758,1257
0.15,0.05,21797,1258
0.15,0.05,20200,1274
0.15,0.05,29634,1244
0.15,0.05,25364,1177
0.15,0.05,28493,1262
0.15,0.05,23601,1280
0.15,0.05,29880,1279
0.15,0.05,29920,1256
0.15,0.05,26600,1224
0.15,0.05,23902,1218
0.15,0.05,26120,1264
0.15,0.05,26510,1264
0.15,0.05,28261,1250
0.15,0.05,23748,1256
0.15,0.05,29392,1267
0.15,0.05,23248,1213
0.15,0.05,21813,1267
0.15,0.05,19644,1257
0.15,0.05,29437,1264
0.15,0.05,30097,1271
0.15,0.05,29726,1243
0.15,0.05,20700,1167
0.15,0.05,27495,1233
0.15,0.05,25275,1233
0.15,0.05,29705,1281
0.15,0.05,29193,1285
0.15,0.05,23056,1217
0.15,0.05,21699,1231
0.15,0.05,20814,1250
0.15,0.05,29610,1260
0.15,0.05,28727,1251
0.15,0.05,31331,1274
0.15,0.05,18146,1152
0.15,0.05,27488,1223
0.15,0.05,27301,1261
0.15,0.05,27066,1258
0.15,0.05,26948,1270
0.15,0.05,30594,1275
0.15,0.05,29785,1251
0.15,0.05,20698,1259
0.15,0.05,31009,1271
0.15,0.05,30330,1239
0.15,0.05,29252,1263
0.15,0.05,25306,1199
0.15,0.05,29519,1284
0.15,0.05,26836,1274
0.15,0.05,27108,1262
0.15,0.05,23915,1262
0.15,0.05,30501,1283
0.15,0.05,23458,1223
0.15,0.05,23289,1223
0.15,0.05,21640,1257
0.15,0.05,7674,1023
0.15,0.05,16318,1211
0.15,0.05,14726,1207
0.15,0.05,26661,1259
0.15,0.05,27403,1243
0.15,0.05,16865,1249
0.15,0.05,28866,1237
0.15,0.05,29876,1257
0.15,0.05,32346,1275
0.15,0.05,28547,1215
0.15,0.05,21299,1251
0.15,0.05,25920,1176
0.15,0.05,20589,1255
0.15,0.05,26033,1216
0.15,0.05,30940,1257
0.15,0.05,24275,1243
