transmission,quarantine,total infections,cities infected
0.15,0,17703,1203
0.15,0,24932,1260
0.15,0,30885,1264
0.15,0,22473,1260
0.15,0,28012,1256
0.15,0,29451,1267
0.15,0,31407,1261
0.15,0,23696,1217
0.15,0,30514,1276
0.15,0,24669,1235
0.15,0,29791,1282
0.15,0,30513,1287
0.15,0,31616,1276
0.15,0,25901,1218
0.15,0,22242,1206
0.15,0,29189,1275
0.15,0,26631,1255
0.15,0,27683,1239
0.15,0,27691,1262
0.15,0,27664,1262
0.15,0,2027,448
0.15,0,32048,1270
0.15,0,27298,1231
0.15,0,24892,1218
0.15,0,16951,1203
0.15,0,30216,1275
0.15,0,25916,1284
0.15,0,14078,1206
0.15,0,26519,1280
0.15,0,30514,1255
0.15,0,26354,1273
0.15,0,28032,1265
0.15,0,27882,1289
0.15,0,28979,1282
0.15,0,28741,1283
0.15,0,18174,1240
0.15,0,28207,1281
0.15,0,32487,1266
0.15,0,31919,1268
0.15,0,30281,1260
0.15,0,24751,1273
0.15,0,30422,1291
0.15,0,32359,1268
0.15,0,33162,1258
0.15,0,27963,1258
0.15,0,28513,1274
0.15,0,26998,1259
0.15,0,23546,1227
0.15,0,27780,1288
0.15,0,23612,1259
0.15,0,24662,1272
0.15,0,11684,1112
0.15,0,30887,1253
0.15,0,27813,1285
0.15,0,19720,1229
0.15,0,29957,1271
0.15,0,10884,1147
0.15,0,24750,1280
0.15,0,31286,1278
0.15,0,28779,1248
0.15,0,30898,1264
0.15,0,24914,1259
0.15,0,22847,1278
0.15,0,33013,1285
0.15,0,23200,1263
0.15,0,22789,1245
0.15,0,30879,1261
0.15,0,29916,1267
0.15,0,29527,1278
0.15,0,30499,1267
0.15,0,24011,1259
0.15,0,31790,1286
0.15,0,29012,1268
0.15,0,27985,1249
0.15,0,30712,1235
0.15,0,13016,1182
0.15,0,26940,1259
0.15,0,27413,1265
0.15,0,23758,1238
0.15,0,28661,1248
0.15,0,27320,1270
0.15,0,18075,1213
0.15,0,24775,1250
0.15,0,30764,1259
0.15,0,28333,1241
0.15,0,21332,1211
0.15,0,28588,1273
0.15,0,30834,1277
0.15,0,26592,1264
0.15,0,19157,1247
